1732131543,OK,telex.hu,1,192.168.10.1,AS???,0.00,10,0,0.12,0.15,0.11,0.41,0.09
1732131543,OK,telex.hu,2,lo1.bsr1-kaposvar.net.telekom.hu (145.236.238.134),AS5483,0.00,10,0,1.67,1.75,1.48,2.07,0.20
1732131543,OK,telex.hu,3,81.183.3.32,AS5483,0.00,10,0,2.76,2.59,2.33,2.88,0.15
1732131543,OK,telex.hu,4,81.183.1.19,AS5483,0.00,10,0,2.35,2.78,2.35,4.18,0.51
1732131543,OK,telex.hu,5,80.156.161.104,AS3320,0.00,10,0,9.02,8.91,8.58,9.60,0.32
1732131543,OK,telex.hu,6,vie-sb6-i.VIE.AT.NET.DTAG.DE (217.239.40.142),AS3320,0.00,10,0,55.65,39.17,9.04,108.55,38.94
1732131543,OK,telex.hu,7,80.156.160.221,AS3320,0.00,10,0,8.21,8.89,8.21,9.48,0.39
1732131543,OK,telex.hu,8,195.219.25.15,AS6453,0.00,10,0,9.29,9.38,8.81,10.62,0.53
1732131543,OK,telex.hu,9,108.162.220.2,AS13335,0.00,10,0,8.93,14.85,8.93,65.12,17.66
1732131543,OK,telex.hu,10,104.26.3.85,AS13335,0.00,10,0,8.53,8.70,8.50,9.00,0.15
1732143616,OK,telex.hu,1,192.168.10.1,AS???,0.00,10,0,0.15,0.17,0.12,0.32,0.06
1732143616,OK,telex.hu,2,lo1.bsr1-kaposvar.net.telekom.hu (145.236.238.134),AS5483,0.00,10,0,1.60,1.66,1.27,2.09,0.21
1732143616,OK,telex.hu,3,81.183.0.37,AS5483,0.00,10,0,2.59,2.58,2.21,3.07,0.27
1732143616,OK,telex.hu,4,81.183.1.9,AS5483,0.00,10,0,2.60,2.67,2.56,2.81,0.09
1732143616,OK,telex.hu,5,62.159.61.98,AS3320,0.00,10,0,8.09,10.74,7.56,26.72,6.36
1732143616,OK,telex.hu,6,80.156.160.221,AS3320,0.00,10,0,7.58,7.36,6.46,8.22,0.53
1732143616,OK,telex.hu,7,195.219.25.19,AS6453,0.00,10,0,7.60,8.67,7.58,17.65,3.16
1732143616,OK,telex.hu,8,108.162.220.4,AS13335,0.00,10,0,7.56,14.54,7.16,51.69,14.05
1732143616,OK,telex.hu,9,104.26.3.85,AS13335,0.00,10,0,7.58,7.49,7.21,7.75,0.20
1732143676,OK,telex.hu,1,192.168.10.1,AS???,0.00,10,0,0.17,0.15,0.12,0.20,0.02
1732143676,OK,telex.hu,2,lo1.bsr1-kaposvar.net.telekom.hu (145.236.238.134),AS5483,0.00,10,0,1.84,1.78,1.50,2.07,0.19
1732143676,OK,telex.hu,3,81.183.0.37,AS5483,0.00,10,0,2.33,2.62,2.33,3.23,0.28
1732143676,OK,telex.hu,4,81.183.1.7,AS5483,0.00,10,0,2.33,2.63,2.33,2.94,0.20
1732143676,OK,telex.hu,5,62.159.61.98,AS3320,0.00,10,0,7.88,7.94,7.49,8.27,0.22
1732143676,OK,telex.hu,6,80.156.160.221,AS3320,0.00,10,0,7.37,7.08,6.37,7.47,0.31
1732143676,OK,telex.hu,7,195.219.25.19,AS6453,0.00,10,0,7.33,7.57,7.33,8.04,0.22
1732143676,OK,telex.hu,8,108.162.220.4,AS13335,0.00,10,0,7.38,7.70,7.38,8.10,0.28
1732143676,OK,telex.hu,9,172.67.71.160,AS13335,0.00,10,0,7.32,7.29,6.63,7.62,0.34
1732143736,OK,telex.hu,1,192.168.10.1,AS???,0.00,10,0,0.22,0.20,0.16,0.23,0.02
1732143736,OK,telex.hu,2,lo1.bsr1-kaposvar.net.telekom.hu (145.236.238.134),AS5483,0.00,10,0,1.95,1.51,1.08,1.96,0.35
